#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.97 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2003.7914,13.31000,11.59000,,
2003.8186,,11.14000,,
2003.8187,16.60000,,,
2003.8457,16.82000,10.34000,,
2003.8708,,9.16000,,
2003.8728,7.22000,,,
2003.9000,9.04000,,,
2003.9112,,6.69000,,
2003.9271,13.68000,,,
2003.9272,,11.63000,,
2003.9543,18.06000,11.45000,,
2003.9813,18.04000,,,
2003.9815,,8.38000,,
2004.0086,11.27000,9.12000,,
2004.0358,9.05000,,,
2004.0359,,14.03000,,
2004.0628,,13.30000,,
2004.0629,8.12000,,,
2004.0898,10.76000,,,
2004.0901,,12.13000,,
2004.1135,,6.37000,,
2004.1173,15.89000,,,
2004.1443,12.92000,,,
2004.1489,,11.33000,,
2004.1715,15.31000,12.33000,,
2004.1986,7.91000,11.57000,,
2004.2258,10.09000,,,
2004.2259,,12.11000,,
2004.2513,,14.17000,,
2004.2531,16.70000,,,
2004.2801,18.07000,11.32000,,
2004.3073,,14.64000,,
2004.3075,21.74000,,,
2004.3343,15.68000,,,
2004.3344,,9.95000,,
2004.3615,13.68000,10.25000,,
2004.3884,11.87000,,,
2004.3886,,9.42000,,
2004.4158,,13.13000,,
2004.4429,,12.52000,,
2004.4702,,11.07000,,
2004.4728,19.03000,,,
2004.4971,13.64000,,,
2004.4973,,15.03000,,
2004.5226,9.48000,,,
2004.5244,,14.28000,,
2004.5497,7.47000,,,
2004.5516,,12.30000,,
2004.5771,8.15000,,,
2004.5787,,9.52000,,
2004.6060,,10.84000,,
2004.6063,15.57000,,,
2004.6330,,13.34000,,
2004.6331,16.96000,,,
2004.6601,,12.78000,,
2004.6602,13.46000,,,
2004.6870,8.03000,,,
2004.6873,,14.24000,,
2004.7143,11.33000,,,
2004.7145,,16.90000,,
2004.7416,,12.26000,,
2004.7417,7.30000,,,
2004.7686,17.23000,,,
2004.7687,,13.68000,,
2004.7959,,14.63000,,
2004.7960,15.06000,,,
2004.8231,10.12000,,,
2004.8232,,13.03000,,
2004.8502,8.41000,13.50000,,
2004.8773,9.17000,,,
2004.8774,,13.72000,,
2004.9044,,8.44000,,
2004.9045,9.13000,,,
2004.9317,,12.02000,,
2004.9318,16.81000,,,
2004.9541,14.55000,,,
2004.9590,,13.27000,,
2004.9859,12.68000,,,
2004.9860,,19.50000,,
2005.0129,2.17000,,,
2005.0131,,14.74000,,
2005.0401,5.72000,,,
2005.0402,,14.22000,,
2005.0675,12.36000,16.49000,,
2005.0945,18.37000,15.68000,,
2005.1217,15.26000,16.50000,,
2005.1488,7.96000,,,
2005.1491,,16.23000,,
2005.1759,11.13000,19.69000,,
2005.2031,,18.12000,,
2005.2033,9.92000,,,
2005.2301,,12.94000,,
2005.2303,10.10000,,,
2005.2574,13.22000,13.61000,,
2005.2844,,18.54000,,
2005.2847,16.91000,,,
2005.3106,7.18000,,,
2005.3117,,15.76000,,
2005.3389,,16.97000,,
2005.3394,8.56000,,,
2005.3659,12.25000,,,
2005.3660,,16.87000,,
2005.3932,16.63000,,,
2005.3933,,15.93000,,
2005.4200,13.54000,,,
2005.4203,,16.32000,,
2005.4474,12.99000,17.49000,,
2005.4745,8.42000,,,
2005.4746,,17.71000,,
2005.5017,6.26000,16.84000,,
2005.5289,,19.15000,,
2005.5291,11.09000,,,
2005.5560,,15.34000,,
2005.5561,14.41000,,,
2005.5831,17.65000,,,
2005.5833,,17.01000,,
2005.6102,15.75000,,,
2005.6103,,14.82000,,
2005.6376,,15.60000,,
2005.6377,9.87000,,,
2005.6646,,17.34000,,
2005.6647,8.18000,,,
2005.6917,12.96000,,,
2005.6918,,18.11000,,
2005.7137,,17.54000,,
2005.7190,17.70000,,,
2005.7462,16.13000,,,
2005.7511,,17.22000,,
2005.7656,16.11000,,,
2005.7734,,17.96000,,
2005.8004,,16.67000,,
2005.8275,,17.03000,,
2005.8547,,20.06000,,
2005.8818,,19.53000,,
2005.9091,,18.11000,,
2005.9362,,19.11000,,
2005.9633,,20.08000,,
2005.9906,,20.53000,,
2006.0176,,18.86000,,
2006.0447,,14.43000,,
2006.0719,,17.16000,,
2006.0991,,17.93000,,
2006.1262,,16.91000,,
2006.1535,,17.02000,,
2006.1804,,17.95000,,
2006.2076,,13.66000,,
2006.2347,,17.38000,,
2006.2619,,16.43000,,
2006.2890,,16.16000,,
2006.3163,,16.08000,,
2006.3433,,16.39000,,
2006.3705,,19.78000,,
2006.3975,,19.83000,,
2006.4248,,19.41000,,
2006.4519,,18.86000,,
2006.4791,,18.15000,,
2006.5064,,19.64000,,
2006.5334,,19.32000,,
2006.5605,,18.57000,,
2006.5877,,16.91000,,
2006.6148,,14.29000,,
2006.6420,,17.46000,,
2006.6691,,20.00000,,
2006.6963,,19.78000,,
2006.7235,,20.60000,,
2006.7507,,19.53000,,
2006.7777,,20.76000,,
2006.8049,,20.02000,,
2006.8244,,19.53000,,
2006.8894,,17.95000,,
2006.9135,,16.97000,,
2006.9403,,21.50000,,
2006.9679,,20.20000,,
2006.9949,,19.15000,,
2007.0220,,16.48000,,
2007.0492,,15.03000,,
2007.0765,,18.14000,,
2007.1035,,17.07000,,
2007.1303,,16.62000,,
2007.1578,,18.50000,,
2007.1849,,16.81000,,
2007.2121,,18.30000,,
2007.2392,,18.80000,,
2007.2660,,21.55000,,
2007.2935,,21.48000,,
